Trial     # of Hands     # of Pairs   # of Flushes      Pair %        Flush %
1          10000           4931             10          49.31           0.10
2          10000           4846             16          48.46           0.16
3          10000           4852             25          48.52           0.25
4          10000           4924             19          49.24           0.19
5          10000           4905             20          49.05           0.20
6          10000           4948             14          49.48           0.14
7          10000           4894             25          48.94           0.25
8          10000           4914             19          49.14           0.19
9          10000           4870             21          48.70           0.21
10          10000           4914             20          49.14           0.20
